fingerprint,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
82509811a 6FCF3E02F12F6C39FCF4ADA48D4C81FB9AC6B4E5,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7700,7700,7700,7700,7100,7100,6900
82509811b EA7E39E4B2DBB0405BBC05E0B3AE1058E5A7623F,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,19200,19200,19200,19200,19200,19200
8a88a6ccfa35f11950 15FACFCA2A5C4AC051C70B713B299F409CEDF494,418,418,418,418,369,369,369,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408
8ac97a37 014E24C0CD21D2B9829E841D5EC1D3C415F866BF,153000,153000,153000,152000,163000,162000,161000,160000,159000,158000,158000,158000,158000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000
8af34cb1 C9D02B1644BD47C136E379FDFAF4973D1A1CE07C,16200,16200,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
8e72e9291ec761e21a 1857377741A5702D1A1607EA013A5484C24CF12D,90,90,90,90,90,90,90,90,90,90,90,83,83,83,83,83,83,83,83,83,83,83,83,83
8lyWARGTU4wesrfy8i 0882440874034AFBE2FBF16463A290F3278E24F7,340,340,340,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,340,340,340
8rijgto8 8404E8B8AAB98208FAEFB1727B637133AD9C6FAF,75000,74000,75000,75000,75000,75000,75000,74000,74000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,72000,72000,72000,72000,72000
9500 DFF9E741D00F74998FE83CD6260EE4D9E0B0DBFA,8210,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560
9S 43631E434ABF180B4BB65C52EB851B8785D2AF00,5970,5970,5970,5970,5970,5970,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,8350,8350,8350
