fingerprint,mean_bw
niftyflorescaverat 0677DF0B05ECDA2EF45F26C3332731043BB89AB8,29530.765359168243
nodvrelay22 EC5ED2968962E6E44F412214B72D73EA32AC45E1,29524.900126023942
niftycottonmouse 28F4F392F8F19E3FBDE09616D9DB8143A1E2DDD3,29417.132797731567
FakeVolleyball 950134F4ABA3291EEE4E7A2F26546DB7070776A4,29394.808286074356
Enterprise 21EB2176DFD7364A8E3705ABF518E880362425FC,29348.127441713925
FalkensteinTor03 F0F13714732C347312426EC2B8D5C4940EAA45BA,29334.366729678637
niftychionomy CD97DD0842A79184A7D057ECACEF7408C239C710,29222.243462507875
niftycottontail 71AB4726D830FAE776D74AEF790CF04D8E0151B4,29212.00315059861
F3Netze E8C8667CAF3D5148E52ECF736A7B204982F78EAA,29137.116572148712
niftydagon 5E52BEA22130598F200D05C42BB66709C24E8F67,29097.27307813484
CalyxInstitute15 47E49319DD67784F1E65B5793371BE467365979E,28969.748582230623
FalkensteinTor03 7185B69E3267E71D0E4CBE30209677205DEA5E67,28917.332230623822
TURBULENCE 374227D455A938248F8010B66BECBCD417A81C99,28757.59183994959
niftyboglemming 0B3C8C2B2B1A1CA4429B9649F533BEB4D7470AEA,28694.18431001891
Akka 56927E61B51E6F363FB55498150A6DDFCF7077F2,28519.83065532451
FalkensteinTor03 599A708756048993A1029B2775EEF8C9E40BB640,28512.403906742282
0x3d008 926955277C7BDB6CD1E1561A91847CBCD5B079E5,28400.677378701952
niftybeaver 6E94866ED8CA098BACDFD36D4E8E2B459B8A734E,28315.731884057972
niftybunny B740BCECC4A9569232CDD45C0E1330BA0D030D33,28242.98850031506
EvolynTorRelay1 6406B69F95D06F6A94CFDD83E85EE9C410A05D47,28141.40540327662
Piratenpartei03 98867F5242505A2DD581C85B1CE256090B87F138,28131.74535286705
0x3d009 912A7C57E05606AF602EC63D1D06BBD5C7AAE516,28073.276465028357
node002sln BC238DA10F427C21685F766317F7E0946954B88F,27820.101921865156
node001uv 0395AD3CBAF0772F5385E7AE4F88E8A2BB5AA503,27819.324117832388
F3Netze E8AD8C4FDC3FE152150C005BB2EAA6A0990B74DF,27803.62129804663
CalyxInstitute06 6F4E9FD00D4251D98BE96FB1AA546FE34676A95B,27798.77063642092
72ab8f63bbd93503 DB58ED50E920C51F5C1A044E6A04BA669B14CFD2,27794.408868935105
Piratenpartei1 D1C5F5F8FAFA2F98A84753416BF83B83F1282137,27785.412570888464
ULayerKiriakou 482A687F14182974926CE0B3ACFFC8D6247ED7DF,27743.23755513547
niftyfrazUrbluu 6796E53160714D908B39BCB0058CF488FF940336,27722.69612476371
DevilHunter 6118DDB580EEDD6FE5F8D3CC0DF1EE17D8A2A4C6,27627.264335223692
Access AF2D21CFF2E910F55D2B7DCE1382C1FB5B22D0E5,27432.73511342155
EvilMoe F4263275CF54A6836EE7BD527B1328836A6F06E1,27324.163909892886
nodvrelay18 5195CC2361DD62B62032A8EC7F7AA351D567C153,27300.008821676114
nodvrelay12 F51DA1174BDCADFD58EA9CB87EDFC01DD6B632ED,27161.57600819156
niftybankvole C00C28C2B1A7D8038517626CECA9BCB23B0A31D2,27157.698093887837
nodvrelay15 C2C899E91F7A550351437776900883BC979BEECD,27129.58286074354
UDwdoN9 C333C56EAAD404ACDDE2FB3A675C5F5DA46A81E2,27118.014020163828
CalyxInstitute11 6C143720FFF8469EF6A5C5B4066366340CF6C0D1,27095.110586011342
5705860553591637 5847D5A01C47166143F738C7703344517B39EB10,27079.28985507246
550aca43 F38125187F5E7CED1FF31C37B0AEEA7129263F82,26885.073881537497
atlantis 6FF440DFB1D0697B942357D747900CC308DD57CC,26837.944785759293
DeepGreenResistance 9C2BF9B1E30EBB1A3836FA04BEEE8CC192CC1E5B,26837.35467863894
TORxyz 75784DD2BCB70CE13CEC93CFE24CD69C66E2C67B,26826.50677378702
raisapX 92EA866C80C8828658A0F427BDB74F1D9A2E600C,26712.49866099559
CalyxInstitute07 1B9FACF25E17D26E307EA7CFA7D455B144B032E5,26683.10326086956
FaerieOnion 21A5D58C042BF9C9511E17930C2FF8B7569699F9,26663.97274732199
