fingerprint,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
3tudK4Nde8iQ 1D5A20A47771B80995711E20195A21ECB173E1C2,10800,6700,8300,6800,6800,6800,6800,6800,6800,6800,6800,6800,6500,6500,6600,6600,6600,6600,6600,6600,6600,6600,6600
3zpzl3mnsqzy D39F66DE4910D3AE1C3415E4501219D3B99E184E,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,660,660,650,650,650,670,650,650
42e7b73f33ff22cfc9c 885CFB6921E6E7716BB64783348DDB06E17E5B5A,18000,18000,18000,18000,18000,18000,18000,18000,19000,19000,19000,17000,17000,19000,19000,17000,19000,16100,16200,16000,16000,16000,16000
42isNotTheAnswer 53AE17B558DFA2EAF551B650F6260B3E31FBEAD0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1200,1200,1200,1200,1200,1600,1600,1600,2120,1600,1600
4663334194545314 350AB72B8744CC40ED8699E6D3298CB14215F568,2300,2200,2300,2200,2200,2200,2300,2300,2300,2300,2300,2300,2300,2390,2390,2100,2390,2200,2200,2200,2390,2200,2200
4YReUEdN F91BCC34CB3F7D2E9546094712FCE67299082E8A,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
4istheloneliestnum 790FABD5184E98F89908404233364C940A4881EC,3810,3630,3820,3560,3530,3500,3500,3500,3500,3510,3510,3530,4080,4280,4280,4090,4400,4140,4150,4160,4550,4200,4200
4pyro2eu3org0 03E9F7E669C8F911C5EEC3EC094533151F857420,1300,1300,1300,1300,1300,1300,1400,1130,1130,1130,1130,1400,1400,1610,1610,1400,1610,1400,1400,1400,1930,1400,1400
4zuwhp F5F76C12B07AC124B3B02E03AC526D6F1B20EB77,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
550aca43 F38125187F5E7CED1FF31C37B0AEEA7129263F82,33000,35000,35300,35000,35000,35000,36000,36000,36000,36000,36000,36000,36000,36600,36600,35000,36000,35000,34500,34600,34700,34700,34700
550af08a A50EDE9B5D7B417AE7CDFFE8B4EE7E0150007266,25200,25300,28000,25200,25100,25100,25000,28000,28000,28000,28000,28000,28000,28200,28000,26300,28000,22000,22000,26000,28000,26000,26000
555nase 597422ADDADAF5FB2727369B7EFC7AA76B89D613,8100,7800,8000,7800,7800,7800,7800,7800,7800,7800,7900,7900,8000,8000,8000,8000,8000,7900,7800,7800,7000,7000,7000
5705860553591637 5847D5A01C47166143F738C7703344517B39EB10,1900,1900,1900,1900,2000,2000,2000,2000,2000,2000,2000,2000,2000,2330,2330,2000,2330,2000,2000,2000,2330,2000,2000
5af484093f888001e0 8A017D446EFF6596C95F9E4A11F5A727EA5A19C4,969,969,969,969,969,969,969,969,969,969,944,944,944,944,944,944,944,944,944,944,944,944,944
5b82I0IfxsHI7ekh 15AE6FFE0E245A820D4F74EA64B4C304EE555C1D,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220
5efd8dd DC79C9D75CFD7A91F9232922E05D225CBDCB7703,140000,120000,130000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,130000,130000,120000,130000,120000,120000,120000,130000,120000,130000
5f818562da9a6de9a3 6B020D679D0D20154F46E862D5DA196A0FB65C78,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,979,979,979,979,979,979,979,979,979,979
5fd811a4 DBFD22903D0EED29BC2D1EA557D93E6DEDA3DCAE,16000,16000,16000,15800,15600,15500,15500,15500,15500,15500,15600,15600,15600,15700,15700,15800,15900,15900,16000,16100,16200,16400,16400
5fd833a9 A994EF2BB269BEB58F137B8F0FEE256745AEFF51,24000,14000,24000,14000,11000,11000,11000,11000,11000,11000,11000,11000,11000,20800,20900,14000,21000,14000,14000,14000,14800,14000,14000
5fd833ab 113184F9855AECB1D9BF3230A07408EC2767A62B,16500,14000,18600,14000,14000,14000,14000,14000,15000,15000,15000,15000,15000,18200,18200,15000,18300,15000,15000,15000,18600,15000,15000
5fd833ae D3A8FEB88169C3B5859D9BC38E2CA465206475C7,15100,15000,15100,14800,14700,14600,14600,14600,14600,14600,14600,14700,14700,14700,14800,14800,14900,15000,15000,15000,15300,15000,15000
5iwek 8B0D06BAFCA457083E0102CBACB7DC94F66489A8,320,320,320,310,310,320,320,320,320,310,310,310,310,310,320,320,320,320,320,320,320,320,320
5n0wt3ch 4732FA6DE1059F0AAFD58EFF7BBA69B2C2579F85,90,79,90,79,79,79,79,79,79,79,79,79,79,79,79,78,79,78,70,70,70,70,70
6mctr01 60820A2820446DD90E068ED3E121497C809F3D65,24700,22700,24700,22600,22500,22400,22500,22400,22400,22400,22500,22500,22600,24200,24300,22600,24500,22800,22800,22900,25000,22100,22100
72ab8f63bbd93503 DB58ED50E920C51F5C1A044E6A04BA669B14CFD2,234,230,234,230,230,230,230,230,230,230,230,230,230,301,301,230,301,230,230,230,301,230,230
7fach BCB14DE52207E4F5C9B565466E20B68C17993B89,1200,996,1200,996,996,996,996,996,996,996,996,996,996,1200,1200,996,1200,996,996,996,1200,996,996
8ac97a37 014E24C0CD21D2B9829E841D5EC1D3C415F866BF,116000,110000,115000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,143000,110000,109000,120000,110000,110000,110000,120000,111000,111000
8af34cb1 C9D02B1644BD47C136E379FDFAF4973D1A1CE07C,22000,17800,22000,17700,17600,17600,17000,17000,17000,17000,17000,17000,17000,21500,21600,20000,21700,20000,20000,20000,22000,20000,20000
8lyWARGTU4wesrfy8i 0882440874034AFBE2FBF16463A290F3278E24F7,380,380,380,380,380,380,380,380,380,380,345,345,345,345,310,310,310,310,310,320,366,320,320
8rijgto8 8404E8B8AAB98208FAEFB1727B637133AD9C6FAF,43000,43000,43000,42800,43000,43000,43000,43000,43000,43000,43000,43000,46000,46000,48000,48000,48000,48000,48000,48000,48000,48000,48000
948794crazy 1ACB2D005191B6B8BE2E26C021EB0BA1647A5AB3,394,370,394,370,370,370,370,370,370,370,370,370,370,394,394,370,394,370,370,370,509,370,370
99E50639 9DFE636B5E00586A0385F70354B75493AE96CABE,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16700,16700,16000,16000,16000,16000,16000,16000,15200,15200
9S 43631E434ABF180B4BB65C52EB851B8785D2AF00,15800,15800,15800,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
A1RUREADY BC6C96E47C46C8D49653B2E23D9A2EA617C82B6D,3390,3420,3410,3410,3400,3400,3390,3380,3360,3360,3360,3370,3360,3360,3360,3360,3370,3570,3590,3600,3640,3600,3600
ABCVG 1A020A414D8AB25F54415C8C1E75A5562A9DD9A6,11000,10000,11000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,10700,10800,9900,10800,9900,9900,9900,10000,9900,9900
